Sex,variable,mean,sd,n,se
F,TL,214.6153846153846,23.368563147736396,13,6.745923111960189
F,FL,184.92307692307693,19.19835730152252,13,5.542088378016323
F,SL,160.69230769230768,17.070367186954,13,4.9277905452768245
F,BW,140.97923076923078,46.97641898895276,13,13.560924074418262
F,LW,1.636153846153846,0.9868513773743445,13,0.2848794541886154
F,GW,2.730769230769231,1.5837479888882866,13,0.4571886638565904
F,UBW,0.060000000000000005,0.014142135623730954,2,0.014142135623730954
M,TL,295.6666666666667,19.210903766595983,18,4.6593285525442
M,FL,230.33333333333334,14.216808610191794,18,3.448082562294787
M,SL,198.77777777777777,13.090434565902807,18,3.1748967294384554
M,BW,265.8888888888889,45.87457861821395,18,11.126219598446918
M,LW,2.7777777777777777,0.6965170117896751,18,0.16893018880284774
M,GW,0.31666666666666665,0.11463497053948343,18,0.02780306423081523
M,UBW,0.07235294117647059,0.02305683514836378,17,0.005764208787090945
